aligner,read_length,mapq,step,count
graph_15_5,30,0,initial,100000
graph_15_5,30,5,initial,100000
graph_15_5,30,10,initial,100000
graph_15_5,30,15,initial,100000
graph_15_5,30,20,initial,100000
graph_15_5,30,25,initial,100000
graph_15_5,30,30,initial,100000
graph_15_5,30,35,initial,100000
graph_15_5,30,40,initial,100000
graph_15_5,30,45,initial,100000
graph_15_5,30,50,initial,100000
graph_15_5,30,55,initial,100000
graph_15_5,30,60,initial,100000
graph_19_5,30,0,initial,100000
graph_19_5,30,5,initial,100000
graph_19_5,30,10,initial,100000
graph_19_5,30,15,initial,100000
graph_19_5,30,20,initial,100000
graph_19_5,30,25,initial,100000
graph_19_5,30,30,initial,100000
graph_19_5,30,35,initial,100000
graph_19_5,30,40,initial,100000
graph_19_5,30,45,initial,100000
graph_19_5,30,50,initial,100000
graph_19_5,30,55,initial,100000
graph_19_5,30,60,initial,100000
bwa_aln,30,0,initial,100000
bwa_aln,30,20,initial,100000
bwa_aln,30,30,initial,100000
graph_15_5,40,0,initial,100000
graph_15_5,40,5,initial,100000
graph_15_5,40,10,initial,100000
graph_15_5,40,15,initial,100000
graph_15_5,40,20,initial,100000
graph_15_5,40,25,initial,100000
graph_15_5,40,30,initial,100000
graph_15_5,40,35,initial,100000
graph_15_5,40,40,initial,100000
graph_15_5,40,45,initial,100000
graph_15_5,40,50,initial,100000
graph_15_5,40,55,initial,100000
graph_15_5,40,60,initial,100000
graph_19_5,40,0,initial,100000
graph_19_5,40,5,initial,100000
graph_19_5,40,10,initial,100000
graph_19_5,40,15,initial,100000
graph_19_5,40,20,initial,100000
graph_19_5,40,25,initial,100000
graph_19_5,40,30,initial,100000
graph_19_5,40,35,initial,100000
graph_19_5,40,40,initial,100000
graph_19_5,40,45,initial,100000
graph_19_5,40,50,initial,100000
graph_19_5,40,55,initial,100000
graph_19_5,40,60,initial,100000
bwa_aln,40,0,initial,100000
bwa_aln,40,20,initial,100000
bwa_aln,40,30,initial,100000
graph_15_5,50,0,initial,100000
graph_15_5,50,5,initial,100000
graph_15_5,50,10,initial,100000
graph_15_5,50,15,initial,100000
graph_15_5,50,20,initial,100000
graph_15_5,50,25,initial,100000
graph_15_5,50,30,initial,100000
graph_15_5,50,35,initial,100000
graph_15_5,50,40,initial,100000
graph_15_5,50,45,initial,100000
graph_15_5,50,50,initial,100000
graph_15_5,50,55,initial,100000
graph_15_5,50,60,initial,100000
graph_19_5,50,0,initial,100000
graph_19_5,50,5,initial,100000
graph_19_5,50,10,initial,100000
graph_19_5,50,15,initial,100000
graph_19_5,50,20,initial,100000
graph_19_5,50,25,initial,100000
graph_19_5,50,30,initial,100000
graph_19_5,50,35,initial,100000
graph_19_5,50,40,initial,100000
graph_19_5,50,45,initial,100000
graph_19_5,50,50,initial,100000
graph_19_5,50,55,initial,100000
graph_19_5,50,60,initial,100000
bwa_aln,50,0,initial,100000
bwa_aln,50,20,initial,100000
bwa_aln,50,30,initial,100000
graph_15_5,60,0,initial,100000
graph_15_5,60,5,initial,100000
graph_15_5,60,10,initial,100000
graph_15_5,60,15,initial,100000
graph_15_5,60,20,initial,100000
graph_15_5,60,25,initial,100000
graph_15_5,60,30,initial,100000
graph_15_5,60,35,initial,100000
graph_15_5,60,40,initial,100000
graph_15_5,60,45,initial,100000
graph_15_5,60,50,initial,100000
graph_15_5,60,55,initial,100000
graph_15_5,60,60,initial,100000
graph_19_5,60,0,initial,100000
graph_19_5,60,5,initial,100000
graph_19_5,60,10,initial,100000
graph_19_5,60,15,initial,100000
graph_19_5,60,20,initial,100000
graph_19_5,60,25,initial,100000
graph_19_5,60,30,initial,100000
graph_19_5,60,35,initial,100000
graph_19_5,60,40,initial,100000
graph_19_5,60,45,initial,100000
graph_19_5,60,50,initial,100000
