read_length,aligner,mapq,microbial_mapped
30,graph_15_5,0,56373
30,graph_15_5,5,33765
30,graph_15_5,10,25136
30,graph_15_5,15,19050
30,graph_15_5,20,12896
30,graph_15_5,25,5786
30,graph_15_5,30,667
30,graph_15_5,35,426
30,graph_15_5,40,403
30,graph_15_5,45,364
30,graph_15_5,50,246
30,graph_15_5,55,87
30,graph_15_5,60,39
30,graph_19_5,0,9832
30,graph_19_5,5,8366
30,graph_19_5,10,7612
30,graph_19_5,15,6092
30,graph_19_5,20,4342
30,graph_19_5,25,1950
30,graph_19_5,30,1154
30,graph_19_5,35,866
30,graph_19_5,40,824
30,graph_19_5,45,653
30,graph_19_5,50,176
30,graph_19_5,55,7
30,graph_19_5,60,0
30,bwa_aln,0,6482
30,bwa_aln,20,4259
30,bwa_aln,30,1775
40,graph_15_5,0,58751
40,graph_15_5,5,35579
40,graph_15_5,10,27148
40,graph_15_5,15,20864
40,graph_15_5,20,14356
40,graph_15_5,25,6804
40,graph_15_5,30,1251
40,graph_15_5,35,899
40,graph_15_5,40,726
40,graph_15_5,45,565
40,graph_15_5,50,375
40,graph_15_5,55,171
40,graph_15_5,60,114
40,graph_19_5,0,14332
40,graph_19_5,5,12099
40,graph_19_5,10,10880
40,graph_19_5,15,8736
40,graph_19_5,20,6270
40,graph_19_5,25,2983
40,graph_19_5,30,1502
40,graph_19_5,35,1083
40,graph_19_5,40,1031
40,graph_19_5,45,812
40,graph_19_5,50,283
40,graph_19_5,55,52
40,graph_19_5,60,29
40,bwa_aln,0,924
40,bwa_aln,20,734
40,bwa_aln,30,253
50,graph_15_5,0,60372
50,graph_15_5,5,37127
50,graph_15_5,10,28066
50,graph_15_5,15,21514
50,graph_15_5,20,14779
50,graph_15_5,25,7335
50,graph_15_5,30,1820
50,graph_15_5,35,1374
50,graph_15_5,40,1089
50,graph_15_5,45,758
50,graph_15_5,50,447
50,graph_15_5,55,191
50,graph_15_5,60,125
50,graph_19_5,0,18681
50,graph_19_5,5,15559
50,graph_19_5,10,13825
50,graph_19_5,15,10970
50,graph_19_5,20,7896
50,graph_19_5,25,3760
50,graph_19_5,30,1928
50,graph_19_5,35,1381
50,graph_19_5,40,1271
50,graph_19_5,45,980
50,graph_19_5,50,400
50,graph_19_5,55,82
50,graph_19_5,60,64
50,bwa_aln,0,647
50,bwa_aln,20,557
50,bwa_aln,30,268
60,graph_15_5,0,61669
60,graph_15_5,5,38061
60,graph_15_5,10,28623
60,graph_15_5,15,21984
60,graph_15_5,20,15193
60,graph_15_5,25,7767
60,graph_15_5,30,2417
60,graph_15_5,35,1908
60,graph_15_5,40,1531
60,graph_15_5,45,1174
60,graph_15_5,50,700
60,graph_15_5,55,347
60,graph_15_5,60,244
60,graph_19_5,0,22003
60,graph_19_5,5,18166
60,graph_19_5,10,15985
60,graph_19_5,15,12727
60,graph_19_5,20,9225
60,graph_19_5,25,4419
60,graph_19_5,30,2312
60,graph_19_5,35,1668
60,graph_19_5,40,1496
60,graph_19_5,45,1144
60,graph_19_5,50,450
60,graph_19_5,55,158
60,graph_19_5,60,120
60,bwa_aln,0,182
60,bwa_aln,20,174
60,bwa_aln,30,55
70,graph_15_5,0,63255
70,graph_15_5,5,39345
70,graph_15_5,10,29650
70,graph_15_5,15,22551
70,graph_15_5,20,15776
70,graph_15_5,25,8292
70,graph_15_5,30,2841
70,graph_15_5,35,2297
70,graph_15_5,40,1860
70,graph_15_5,45,1354
70,graph_15_5,50,853
70,graph_15_5,55,449
70,graph_15_5,60,285
70,graph_19_5,0,25631
70,graph_19_5,5,21227
70,graph_19_5,10,18588
70,graph_19_5,15,14616
70,graph_19_5,20,10453
70,graph_19_5,25,5180
70,graph_19_5,30,2744
70,graph_19_5,35,2079
70,graph_19_5,40,1810
70,graph_19_5,45,1390
70,graph_19_5,50,640
70,graph_19_5,55,219
70,graph_19_5,60,166
70,bwa_aln,0,110
70,bwa_aln,20,104
70,bwa_aln,30,28
