aligner,read_length,mapq,retention,accuracy
graph_15_5,30,0,99.29537422,73.77527762
graph_15_5,30,5,81.34302565,87.55054209
graph_15_5,30,10,78.0740972,90.02384794
graph_15_5,30,15,75.88663552,91.21428047
graph_15_5,30,20,67.71654421,94.16006717
graph_15_5,30,25,57.69123566,96.64315393
graph_15_5,30,30,40.00869633,98.75714087
graph_15_5,30,35,25.82475778,98.77390666
graph_15_5,30,40,23.42211767,98.80045697
graph_15_5,30,45,21.45875375,98.88813841
graph_15_5,30,50,19.22223585,99.04297895
graph_15_5,30,55,14.66892623,99.38435814
graph_15_5,30,60,9.500183961,99.41321441
graph_19_5,30,0,99.27189141,77.57612604
graph_19_5,30,5,83.58095874,89.84589857
graph_19_5,30,10,82.32121531,90.69353883
graph_19_5,30,15,80.23576849,91.26148331
graph_19_5,30,20,73.53639901,93.93870602
graph_19_5,30,25,64.36890835,96.62650122
graph_19_5,30,30,53.98405095,97.53562168
graph_19_5,30,35,46.75433077,97.6544261
graph_19_5,30,40,44.78060432,97.72310163
graph_19_5,30,45,35.46030075,97.939451
graph_19_5,30,50,23.90173744,98.58163649
graph_19_5,30,55,7.31704185,99.54369954
graph_19_5,30,60,0.1348349235,100
bwa_aln,30,0,100,75.80983533
bwa_aln,30,20,72.92578389,97.34286068
bwa_aln,30,30,63.93638619,98.56225523
graph_15_5,40,0,99.26655872,81.30812854
graph_15_5,40,5,85.3354636,92.16918186
graph_15_5,40,10,83.90182181,93.33895662
graph_15_5,40,15,82.90888815,94.01448526
graph_15_5,40,20,77.98174975,96.15950498
graph_15_5,40,25,72.92593744,97.37097486
graph_15_5,40,30,68.01059415,98.20578312
graph_15_5,40,35,61.88678841,98.48566231
graph_15_5,40,40,58.23244942,98.61712118
graph_15_5,40,45,54.67247129,98.84872615
graph_15_5,40,50,50.96130132,99.0426293
graph_15_5,40,55,47.20080636,99.27076944
graph_15_5,40,60,43.23121629,99.4270407
graph_19_5,40,0,99.2466027,81.74422778
graph_19_5,40,5,85.1220223,92.72662719
graph_19_5,40,10,83.85268816,93.61283098
graph_19_5,40,15,82.62868738,94.07208078
graph_19_5,40,20,77.00627112,96.12020632
graph_19_5,40,25,70.87655294,97.29231706
graph_19_5,40,30,63.26810366,97.79241163
graph_19_5,40,35,53.94454219,97.9490976
graph_19_5,40,40,51.18784202,98.06005398
graph_19_5,40,45,47.41869677,98.3952472
graph_19_5,40,50,43.14764644,98.86929331
graph_19_5,40,55,35.40643518,99.41163918
graph_19_5,40,60,27.07049338,99.5215311
bwa_aln,40,0,100,79.42544778
bwa_aln,40,20,75.05815306,98.68288526
bwa_aln,40,30,65.65364038,99.42780209
graph_15_5,50,0,99.2566617,88.08944551
graph_15_5,50,5,89.41057892,95.75504932
graph_15_5,50,10,88.67878966,96.28476374
graph_15_5,50,15,88.13913445,96.58125767
graph_15_5,50,20,84.60197804,97.85927029
graph_15_5,50,25,81.0879197,98.58868618
graph_15_5,50,30,79.10673414,98.83736363
graph_15_5,50,35,77.02370703,98.90815409
graph_15_5,50,40,75.33334733,98.95752035
graph_15_5,50,45,73.52329757,99.04181185
graph_15_5,50,50,71.09379921,99.17003869
graph_15_5,50,55,69.10526426,99.24035248
graph_15_5,50,60,66.85110136,99.28384087
graph_19_5,50,0,99.19567125,87.6645395
graph_19_5,50,5,88.81356286,95.76702775
graph_19_5,50,10,88.02699202,96.29761481
graph_19_5,50,15,87.33129988,96.58987608
graph_19_5,50,20,83.46947729,97.90506464
graph_19_5,50,25,79.57945097,98.59811244
graph_19_5,50,30,76.60239001,98.81090369
graph_19_5,50,35,72.72698784,98.88398949
graph_19_5,50,40,70.62215351,98.95870311
graph_19_5,50,45,68.2488614,99.08167014
graph_19_5,50,50,65.42430953,99.22084557
graph_19_5,50,55,62.45038232,99.31086393
graph_19_5,50,60,59.3312581,99.35914365
bwa_aln,50,0,100,84.27727452
bwa_aln,50,20,80.33421482,98.83875667
bwa_aln,50,30,74.23507568,99.35121042
graph_15_5,60,0,99.22459699,91.0147505
graph_15_5,60,5,91.73837674,96.74013895
graph_15_5,60,10,91.22455547,97.09386343
graph_15_5,60,15,90.83114484,97.30069483
graph_15_5,60,20,87.92779514,98.31891107
graph_15_5,60,25,84.92064316,98.89500061
graph_15_5,60,30,83.59508808,99.07367166
graph_15_5,60,35,82.36710713,99.11783239
graph_15_5,60,40,81.34673075,99.15780877
graph_15_5,60,45,80.01183346,99.19565133
graph_15_5,60,50,78.2907917,99.25619506
graph_15_5,60,55,77.03167007,99.31680367
graph_15_5,60,60,75.69988686,99.34455003
graph_19_5,60,0,99.22677224,90.9357272
graph_19_5,60,5,91.38521176,96.92238267
graph_19_5,60,10,90.89034599,97.21642468
graph_19_5,60,15,90.47177203,97.41208378
graph_19_5,60,20,87.65722298,98.33694016
graph_19_5,60,25,84.61276754,98.87049019
