aligner,read_length,type,count
grave_15_5,30,SNPs,36253
grave_15_5,30,MNPs,10157
grave_15_5,30,Indels,497
grave_15_5,30,Other,276
grave_15_5,40,SNPs,49837
grave_15_5,40,MNPs,14954
grave_15_5,40,Indels,1123
grave_15_5,40,Other,440
grave_15_5,50,SNPs,61033
grave_15_5,50,MNPs,17089
grave_15_5,50,Indels,1711
grave_15_5,50,Other,619
grave_15_5,60,SNPs,67971
grave_15_5,60,MNPs,18281
grave_15_5,60,Indels,2322
grave_15_5,60,Other,766
grave_15_5,70,SNPs,73714
grave_15_5,70,MNPs,19304
grave_15_5,70,Indels,3046
grave_15_5,70,Other,926
bwa_aln,30,SNPs,42460
bwa_aln,30,MNPs,11018
bwa_aln,30,Indels,695
bwa_aln,30,Other,430
bwa_aln,40,SNPs,43704
bwa_aln,40,MNPs,11027
bwa_aln,40,Indels,735
bwa_aln,40,Other,202
bwa_aln,50,SNPs,51998
bwa_aln,50,MNPs,14643
bwa_aln,50,Indels,1160
bwa_aln,50,Other,289
bwa_aln,60,SNPs,56659
bwa_aln,60,MNPs,15150
bwa_aln,60,Indels,1541
bwa_aln,60,Other,317
bwa_aln,70,SNPs,62963
bwa_aln,70,MNPs,18130
bwa_aln,70,Indels,1957
bwa_aln,70,Other,363
