read_length,aligner,mapq,accurate_per_million,inaccurate_per_million
30,grave_15_5,0,660740,219480
30,grave_15_5,5,641870,82980
30,grave_15_5,10,632650,63560
30,grave_15_5,15,622600,54350
30,grave_15_5,20,572980,31470
30,grave_15_5,25,500570,14810
30,grave_15_5,30,354410,3330
30,grave_15_5,35,228890,2020
30,grave_15_5,40,207650,1800
30,grave_15_5,45,190370,1490
30,grave_15_5,50,170770,1080
30,grave_15_5,55,130770,470
30,grave_15_5,60,84660,280
30,graph_19_5,0,599930,163770
30,graph_19_5,5,585120,61500
30,graph_19_5,10,581720,55340
30,graph_19_5,15,570510,50610
30,graph_19_5,20,538190,31420
30,graph_19_5,25,484510,14760
30,graph_19_5,30,410240,8750
30,graph_19_5,35,355740,7140
30,graph_19_5,40,340940,6660
30,graph_19_5,45,270600,4640
30,graph_19_5,50,183570,2050
30,graph_19_5,55,56720,120
30,graph_19_5,60,1050,0
30,bwa_aln,0,671450,202870
30,bwa_aln,20,628740,14840
30,bwa_aln,30,558200,6910
40,grave_15_5,0,763130,152600
40,grave_15_5,5,743480,47340
40,grave_15_5,10,739490,38330
40,grave_15_5,15,735310,33520
40,grave_15_5,20,706700,16730
40,grave_15_5,25,668160,8810
40,grave_15_5,30,627050,4610
40,grave_15_5,35,571190,3740
40,grave_15_5,40,537770,3280
40,grave_15_5,45,505460,2620
40,grave_15_5,50,471660,1960
40,grave_15_5,55,437270,1470
40,grave_15_5,60,400660,1140
40,graph_19_5,0,760760,148910
40,graph_19_5,5,740280,43390
40,graph_19_5,10,735790,36420
40,graph_19_5,15,728110,32990
40,graph_19_5,20,693130,16580
40,graph_19_5,25,645370,8310
40,graph_19_5,30,578510,5350
40,graph_19_5,35,493830,4120
40,graph_19_5,40,469120,3490
40,graph_19_5,45,435240,2610
40,graph_19_5,50,396830,1600
40,graph_19_5,55,326150,820
40,graph_19_5,60,249400,540
40,bwa_aln,0,681860,169140
40,bwa_aln,20,635900,7620
40,bwa_aln,30,560550,2830
50,grave_15_5,0,832500,103150
50,grave_15_5,5,815330,30780
50,grave_15_5,10,813050,26370
50,grave_15_5,15,810540,23830
50,grave_15_5,20,788290,12720
50,grave_15_5,25,761180,6800
50,grave_15_5,30,744380,4970
50,grave_15_5,35,725320,4360
50,grave_15_5,40,709700,4010
50,grave_15_5,45,693210,3500
50,grave_15_5,50,671050,2820
50,grave_15_5,55,652710,2370
50,grave_15_5,60,631610,2130
50,graph_19_5,0,832070,107870
50,graph_19_5,5,814030,30780
50,graph_19_5,10,811240,26310
