read_length,aligner,mapq,accurate_n,inaccurate,accurate_per_million,inaccurate_per_million
30,grave_15_5,0,66074,21948,660740,219480
30,grave_15_5,5,64187,8298,641870,82980
30,grave_15_5,10,63265,6356,632650,63560
30,grave_15_5,15,62260,5435,622600,54350
30,grave_15_5,20,57298,3147,572980,31470
30,grave_15_5,25,50057,1481,500570,14810
30,grave_15_5,30,35441,333,354410,3330
30,grave_15_5,35,22889,202,228890,2020
30,grave_15_5,40,20765,180,207650,1800
30,grave_15_5,45,19037,149,190370,1490
30,grave_15_5,50,17077,108,170770,1080
30,grave_15_5,55,13077,47,130770,470
30,grave_15_5,60,8466,28,84660,280
30,graph_19_5,0,59993,16377,599930,163770
30,graph_19_5,5,58512,6150,585120,61500
30,graph_19_5,10,58172,5534,581720,55340
30,graph_19_5,15,57051,5061,570510,50610
30,graph_19_5,20,53819,3142,538190,31420
30,graph_19_5,25,48451,1476,484510,14760
30,graph_19_5,30,41024,875,410240,8750
30,graph_19_5,35,35574,714,355740,7140
30,graph_19_5,40,34094,666,340940,6660
30,graph_19_5,45,27060,464,270600,4640
30,graph_19_5,50,18357,205,183570,2050
30,graph_19_5,55,5672,12,56720,120
30,graph_19_5,60,105,0,1050,0
30,bwa_aln,0,67145,20287,671450,202870
30,bwa_aln,20,62874,1484,628740,14840
30,bwa_aln,30,55820,691,558200,6910
40,grave_15_5,0,76313,15260,763130,152600
40,grave_15_5,5,74348,4734,743480,47340
40,grave_15_5,10,73949,3833,739490,38330
40,grave_15_5,15,73531,3352,735310,33520
40,grave_15_5,20,70670,1673,706700,16730
40,grave_15_5,25,66816,881,668160,8810
40,grave_15_5,30,62705,461,627050,4610
40,grave_15_5,35,57119,374,571190,3740
40,grave_15_5,40,53777,328,537770,3280
40,grave_15_5,45,50546,262,505460,2620
40,grave_15_5,50,47166,196,471660,1960
40,grave_15_5,55,43727,147,437270,1470
40,grave_15_5,60,40066,114,400660,1140
40,graph_19_5,0,76076,14891,760760,148910
40,graph_19_5,5,74028,4339,740280,43390
40,graph_19_5,10,73579,3642,735790,36420
40,graph_19_5,15,72811,3299,728110,32990
40,graph_19_5,20,69313,1658,693130,16580
40,graph_19_5,25,64537,831,645370,8310
40,graph_19_5,30,57851,535,578510,5350
40,graph_19_5,35,49383,412,493830,4120
40,graph_19_5,40,46912,349,469120,3490
40,graph_19_5,45,43524,261,435240,2610
40,graph_19_5,50,39683,160,396830,1600
40,graph_19_5,55,32615,82,326150,820
40,graph_19_5,60,24940,54,249400,540
40,bwa_aln,0,68186,16914,681860,169140
40,bwa_aln,20,63590,762,635900,7620
40,bwa_aln,30,56055,283,560550,2830
50,grave_15_5,0,83250,10315,832500,103150
50,grave_15_5,5,81533,3078,815330,30780
50,grave_15_5,10,81305,2637,813050,26370
50,grave_15_5,15,81054,2383,810540,23830
50,grave_15_5,20,78829,1272,788290,12720
50,grave_15_5,25,76118,680,761180,6800
50,grave_15_5,30,74438,497,744380,4970
50,grave_15_5,35,72532,436,725320,4360
50,grave_15_5,40,70970,401,709700,4010
50,grave_15_5,45,69321,350,693210,3500
50,grave_15_5,50,67105,282,671050,2820
50,grave_15_5,55,65271,237,652710,2370
50,grave_15_5,60,63161,213,631610,2130
50,graph_19_5,0,83207,10787,832070,107870
50,graph_19_5,5,81403,3078,814030,30780
50,graph_19_5,10,81124,2631,811240,26310
50,graph_19_5,15,80722,2381,807220,23810
50,graph_19_5,20,78202,1236,782020,12360
50,graph_19_5,25,75082,689,750820,6890
50,graph_19_5,30,72425,525,724250,5250
50,graph_19_5,35,68808,467,688080,4670
50,graph_19_5,40,66867,410,668670,4100
50,graph_19_5,45,64692,331,646920,3310
50,graph_19_5,50,62097,247,620970,2470
50,graph_19_5,55,59318,198,593180,1980
50,graph_19_5,60,56378,174,563780,1740
50,bwa_aln,0,74769,13211,747690,132110
50,bwa_aln,20,70443,699,704430,6990
50,bwa_aln,30,65445,347,654450,3470
60,grave_15_5,0,86928,7826,869280,78260
60,grave_15_5,5,85444,2465,854440,24650
60,grave_15_5,10,85275,2147,852750,21470
60,grave_15_5,15,85083,1967,850830,19670
60,grave_15_5,20,83228,1055,832280,10550
60,grave_15_5,25,80856,566,808560,5660
60,grave_15_5,30,79736,415,797360,4150
60,grave_15_5,35,78598,380,785980,3800
60,grave_15_5,40,77656,350,776560,3500
60,grave_15_5,45,76407,325,764070,3250
60,grave_15_5,50,74806,289,748060,2890
60,grave_15_5,55,73642,257,736420,2570
60,grave_15_5,60,72387,238,723870,2380
60,graph_19_5,0,87444,7953,874440,79530
60,graph_19_5,5,85862,2298,858620,22980
60,graph_19_5,10,85654,2041,856540,20410
60,graph_19_5,15,85430,1865,854300,18650
60,graph_19_5,20,83560,1036,835600,10360
60,graph_19_5,25,81099,587,810990,5870
60,graph_19_5,30,79779,483,797790,4830
60,graph_19_5,35,78228,449,782280,4490
60,graph_19_5,40,77063,416,770630,4160
60,graph_19_5,45,75583,366,755830,3660
60,graph_19_5,50,73553,288,735530,2880
60,graph_19_5,55,72012,239,720120,2390
60,graph_19_5,60,70335,220,703350,2200
60,bwa_aln,0,77108,10070,771080,100700
60,bwa_aln,20,73368,678,733680,6780
60,bwa_aln,30,68431,316,684310,3160
70,grave_15_5,0,89425,6128,894250,61280
70,grave_15_5,5,88160,2187,881600,21870
70,grave_15_5,10,88015,1944,880150,19440
70,grave_15_5,15,87881,1804,878810,18040
70,grave_15_5,20,86317,1066,863170,10660
70,grave_15_5,25,84244,643,842440,6430
70,grave_15_5,30,83185,504,831850,5040
70,grave_15_5,35,82240,475,822400,4750
70,grave_15_5,40,81455,457,814550,4570
70,grave_15_5,45,80505,425,805050,4250
70,grave_15_5,50,79241,379,792410,3790
70,grave_15_5,55,78447,347,784470,3470
70,grave_15_5,60,77657,326,776570,3260
70,graph_19_5,0,89916,6174,899160,61740
70,graph_19_5,5,88616,1952,886160,19520
70,graph_19_5,10,88466,1718,884660,17180
70,graph_19_5,15,88290,1594,882900,15940
70,graph_19_5,20,86676,897,866760,8970
70,graph_19_5,25,84528,574,845280,5740
70,graph_19_5,30,83614,500,836140,5000
70,graph_19_5,35,82732,473,827320,4730
70,graph_19_5,40,81879,447,818790,4470
70,graph_19_5,45,80853,415,808530,4150
70,graph_19_5,50,79388,356,793880,3560
70,graph_19_5,55,78456,328,784560,3280
70,graph_19_5,60,77500,317,775000,3170
70,bwa_aln,0,80854,8049,808540,80490
70,bwa_aln,20,77593,657,775930,6570
70,bwa_aln,30,74020,395,740200,3950
30,graph_15_3,0,68637,22603,686370,226030
30,graph_15_3,5,66427,6896,664270,68960
30,graph_15_3,10,65306,4902,653060,49020
30,graph_15_3,15,64335,4058,643350,40580
30,graph_15_3,20,60159,1988,601590,19880
30,graph_15_3,25,54672,949,546720,9490
30,graph_15_3,30,45942,279,459420,2790
30,graph_15_3,35,30300,149,303000,1490
30,graph_15_3,40,21959,103,219590,1030
30,graph_15_3,45,20272,92,202720,920
30,graph_15_3,50,18918,83,189180,830
30,graph_15_3,55,16883,52,168830,520
30,graph_15_3,60,14632,37,146320,370
30,graph_17_3,0,66696,22083,666960,220830
30,graph_17_3,5,64654,7965,646540,79650
30,graph_17_3,10,63788,6356,637880,63560
30,graph_17_3,15,62871,5420,628710,54200
30,graph_17_3,20,58002,3028,580020,30280
30,graph_17_3,25,51250,1326,512500,13260
30,graph_17_3,30,38009,381,380090,3810
30,graph_17_3,35,24113,250,241130,2500
30,graph_17_3,40,23731,242,237310,2420
30,graph_17_3,45,21756,190,217560,1900
30,graph_17_3,50,19312,131,193120,1310
30,graph_17_3,55,14169,49,141690,490
30,graph_17_3,60,8006,10,80060,100
30,graph_17_5,0,64211,20077,642110,200770
30,graph_17_5,5,62526,8198,625260,81980
30,graph_17_5,10,61813,6887,618130,68870
30,graph_17_5,15,60803,6016,608030,60160
30,graph_17_5,20,56035,3699,560350,36990
30,graph_17_5,25,48653,1646,486530,16460
30,graph_17_5,30,33801,528,338010,5280
30,graph_17_5,35,26528,423,265280,4230
30,graph_17_5,40,25812,392,258120,3920
30,graph_17_5,45,22170,287,221700,2870
30,graph_17_5,50,18279,156,182790,1560
30,graph_17_5,55,10878,26,108780,260
30,graph_17_5,60,2732,3,27320,30
30,graph_19_3,0,62878,18713,628780,187130
30,graph_19_3,5,61177,6474,611770,64740
30,graph_19_3,10,60758,5641,607580,56410
30,graph_19_3,15,59692,5102,596920,51020
30,graph_19_3,20,55822,2924,558220,29240
30,graph_19_3,25,50273,1384,502730,13840
30,graph_19_3,30,39608,691,396080,6910
30,graph_19_3,35,34417,566,344170,5660
30,graph_19_3,40,33509,537,335090,5370
30,graph_19_3,45,27884,390,278840,3900
30,graph_19_3,50,22166,202,221660,2020
30,graph_19_3,55,11356,26,113560,260
30,graph_19_3,60,618,1,6180,10
40,graph_15_3,0,76795,15947,767950,159470
40,graph_15_3,5,74698,4422,746980,44220
40,graph_15_3,10,74319,3528,743190,35280
40,graph_15_3,15,73961,3079,739610,30790
40,graph_15_3,20,71262,1391,712620,13910
40,graph_15_3,25,67960,721,679600,7210
40,graph_15_3,30,65447,442,654470,4420
40,graph_15_3,35,61398,368,613980,3680
