read_length,aligner,mapq,accurate_per_million,inaccurate_per_million
30,graph_15_5,0,655520,201110
30,graph_15_5,5,636880,78750
30,graph_15_5,10,627730,59680
30,graph_15_5,15,617820,50840
30,graph_15_5,20,569640,29940
30,graph_15_5,25,498280,14200
30,graph_15_5,30,353080,3190
30,graph_15_5,35,228160,1920
30,graph_15_5,40,207020,1690
30,graph_15_5,45,189800,1380
30,graph_15_5,50,170300,1010
30,graph_15_5,55,130430,470
30,graph_15_5,60,84450,310
30,graph_19_5,0,594800,146280
30,graph_19_5,5,580260,57460
30,graph_19_5,10,576930,51660
30,graph_19_5,15,565820,47240
30,graph_19_5,20,534680,29740
30,graph_19_5,25,482170,14040
30,graph_19_5,30,408530,8290
30,graph_19_5,35,354300,6730
30,graph_19_5,40,339590,6280
30,graph_19_5,45,269610,4360
30,graph_19_5,50,182960,1910
30,graph_19_5,55,56500,160
30,graph_19_5,60,1050,0
30,bwa_aln,0,666390,176040
30,bwa_aln,20,626130,14380
30,bwa_aln,30,556370,6750
40,graph_15_5,0,751500,131220
40,graph_15_5,5,732550,42710
40,graph_15_5,10,728800,34440
40,graph_15_5,15,724760,29950
40,graph_15_5,20,698750,15390
40,graph_15_5,25,662240,8360
40,graph_15_5,30,622060,4340
40,graph_15_5,35,567470,3510
40,graph_15_5,40,534820,3120
40,graph_15_5,45,503170,2460
40,graph_15_5,50,469980,1850
40,graph_15_5,55,435940,1410
40,graph_15_5,60,399610,1080
40,graph_19_5,0,748390,126250
40,graph_19_5,5,729160,38600
40,graph_19_5,10,724870,32410
40,graph_19_5,15,717370,29230
40,graph_19_5,20,685300,15120
40,graph_19_5,25,640130,7700
40,graph_19_5,30,575250,4880
40,graph_19_5,35,492070,3780
40,graph_19_5,40,467750,3230
40,graph_19_5,45,434110,2410
40,graph_19_5,50,395840,1490
40,graph_19_5,55,325450,780
40,graph_19_5,60,248950,530
40,bwa_aln,0,671570,139270
40,bwa_aln,20,630140,7140
40,bwa_aln,30,556530,2810
50,graph_15_5,0,814770,84180
50,graph_15_5,5,798520,26690
50,graph_15_5,10,796460,22710
50,graph_15_5,15,794190,20570
50,graph_15_5,20,774980,11300
50,graph_15_5,25,750520,6050
50,graph_15_5,30,734620,4430
50,graph_15_5,35,716520,3940
50,graph_15_5,40,701890,3630
50,graph_15_5,45,686470,3170
50,graph_15_5,50,665730,2620
50,graph_15_5,55,648210,2300
50,graph_15_5,60,627810,2070
50,graph_19_5,0,814110,87750
50,graph_19_5,5,796970,26380
50,graph_19_5,10,794450,22460
50,graph_19_5,15,790650,20310
50,graph_19_5,20,768750,10970
50,graph_19_5,25,740550,6150
50,graph_19_5,30,715290,4730
50,graph_19_5,35,680900,4200
50,graph_19_5,40,662740,3710
50,graph_19_5,45,642010,3020
50,graph_19_5,50,617100,2330
50,graph_19_5,55,589990,1910
50,graph_19_5,60,561210,1680
50,bwa_aln,0,732080,106150
50,bwa_aln,20,694580,6600
50,bwa_aln,30,646640,3320
60,graph_15_5,0,846290,62620
60,graph_15_5,5,832540,21010
60,graph_15_5,10,831100,18260
60,graph_15_5,15,829430,16650
60,graph_15_5,20,814800,9280
60,graph_15_5,25,794090,5190
60,graph_15_5,30,783840,3830
60,graph_15_5,35,773450,3530
60,graph_15_5,40,765300,3320
60,graph_15_5,45,754240,3090
60,graph_15_5,50,739690,2810
60,graph_15_5,55,728890,2520
60,graph_15_5,60,717370,2330
60,graph_19_5,0,850930,63320
60,graph_19_5,5,836530,19380
60,graph_19_5,10,834700,17200
60,graph_19_5,15,832690,15690
60,graph_19_5,20,817580,9100
60,graph_19_5,25,795920,5350
60,graph_19_5,30,783950,4390
60,graph_19_5,35,769670,4070
60,graph_19_5,40,759270,3800
60,graph_19_5,45,745970,3360
60,graph_19_5,50,727660,2740
60,graph_19_5,55,713220,2350
60,graph_19_5,60,697430,2220
60,bwa_aln,0,751530,79260
60,bwa_aln,20,719990,6590
60,bwa_aln,30,673480,3280
70,graph_15_5,0,868120,47490
70,graph_15_5,5,856620,17510
70,graph_15_5,10,855420,15560
70,graph_15_5,15,854320,14420
70,graph_15_5,20,842150,8900
70,graph_15_5,25,824360,5540
70,graph_15_5,30,814870,4370
70,graph_15_5,35,806340,4130
70,graph_15_5,40,799440,4030
70,graph_15_5,45,791350,3770
70,graph_15_5,50,780100,3410
70,graph_15_5,55,772990,3140
70,graph_15_5,60,765960,2990
70,graph_19_5,0,872670,47040
70,graph_19_5,5,860670,15540
70,graph_19_5,10,859420,13700
70,graph_19_5,15,857960,12690
70,graph_19_5,20,845190,7560
70,graph_19_5,25,826650,4980
70,graph_19_5,30,818670,4350
70,graph_19_5,35,810650,4120
70,graph_19_5,40,803250,3930
70,graph_19_5,45,794500,3660
70,graph_19_5,50,781540,3200
70,graph_19_5,55,773320,3010
70,graph_19_5,60,764960,2900
70,bwa_aln,0,786570,61730
70,bwa_aln,20,759670,6090
70,bwa_aln,30,726250,3770
